batch_sizes,A_c,invalid
11,0.5454545454545454,0.9090909090909091
4,0.5,1.0
75,0.64,0.5333333333333333
4,0.5,1.0
19,0.5526315789473685,0.8947368421052632
268,0.539179104477612,0.8694029850746269
4,0.5,1.0
4,0.5,1.0
419,0.5835322195704057,0.8281622911694511
68,0.5073529411764706,0.9264705882352942
12,0.5416666666666666,0.9166666666666666
4,0.625,0.75
8,0.5625,0.875
4,0.625,0.75
24,0.5,0.9166666666666666
4,0.625,0.75
4,0.5,1.0
355,0.5774647887323944,0.8450704225352113
6,0.5833333333333334,0.8333333333333334
115,0.5173913043478261,0.9130434782608695
8,0.625,0.75
88,0.5113636363636364,0.9545454545454546
36,0.5138888888888888,0.9722222222222222
448,0.5591517857142857,0.8683035714285714
12,0.5416666666666666,0.9166666666666666
12,0.5833333333333334,0.8333333333333334
4,0.625,0.75
88,0.48295454545454547,0.9204545454545454
1,1.0,0.0
32,0.546875,0.90625
4,0.5,1.0
260,0.5846153846153846,0.823076923076923
4,0.625,0.75
16,0.5,1.0
4,0.5,1.0
36,0.5416666666666666,0.9166666666666666
20,0.5,1.0
64,0.5625,0.875
4,0.625,0.75
4,0.5,1.0
12,0.5,0.8333333333333334
4,0.5,1.0
4,0.625,0.75
4,0.5,1.0
4,0.375,0.75
4,0.625,0.75
4,0.5,1.0
4,0.625,0.75
272,0.5477941176470589,0.875
4,0.5,1.0
32,0.546875,0.90625
340,0.5397058823529411,0.8852941176470588
8,0.5625,0.875
8,0.5,1.0
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
24,0.5,0.9166666666666666
4,0.625,0.75
416,0.5516826923076923,0.8870192307692307
68,0.5514705882352942,0.8970588235294118
4,0.625,0.75
76,0.5394736842105263,0.9210526315789473
4,0.5,1.0
4,0.5,1.0
20,0.525,0.95
7,0.5714285714285714,0.8571428571428571
20,0.5,0.9
12,0.4583333333333333,0.9166666666666666
12,0.5416666666666666,0.9166666666666666
4,0.375,0.75
389,0.583547557840617,0.8277634961439588
4,0.625,0.75
40,0.5,0.9
20,0.5,0.9
8,0.5,1.0
12,0.5416666666666666,0.9166666666666666
28,0.5,0.9285714285714286
44,0.5,0.9090909090909091
4,0.5,1.0
44,0.5340909090909091,0.9318181818181818
4,0.375,0.75
316,0.5569620253164557,0.8734177215189873
12,0.5,1.0
4,0.5,1.0
209,0.5717703349282297,0.84688995215311
12,0.5416666666666666,0.9166666666666666
4,0.5,1.0
7,0.5,1.0
52,0.5480769230769231,0.9038461538461539
9,0.6111111111111112,0.7777777777777778
12,0.5416666666666666,0.9166666666666666
8,0.625,0.75
4,0.625,0.75
294,0.5204081632653061,0.9047619047619048
50,0.48,0.92
4,0.625,0.75
36,0.5416666666666666,0.9166666666666666
5,0.6,0.8
365,0.5767123287671233,0.8356164383561644
8,0.4375,0.875
8,0.5625,0.875
3,0.5,1.0
39,0.5128205128205128,0.8717948717948718
4,0.5,1.0
63,0.5079365079365079,0.9523809523809523
4,0.375,0.75
28,0.5,0.9285714285714286
4,0.5,1.0
12,0.5833333333333334,0.8333333333333334
103,0.5825242718446602,0.6407766990291263
4,0.625,0.75
4,0.625,0.75
89,0.5,0.9325842696629213
19,0.5526315789473685,0.8947368421052632
36,0.5,0.8333333333333334
4,0.375,0.75
4,0.625,0.75
4,0.5,1.0
4,0.625,0.75
4,0.625,0.75
4,0.625,0.75
336,0.5535714285714286,0.8630952380952381
46,0.5,0.9130434782608695
4,0.5,1.0
4,0.5,1.0
8,0.4375,0.875
4,0.5,1.0
16,0.5,1.0
12,0.5,0.8333333333333334
4,0.5,1.0
341,0.5454545454545454,0.8856304985337243
4,0.5,1.0
4,0.625,0.75
4,0.5,1.0
184,0.5461956521739131,0.8641304347826086
24,0.5208333333333334,0.9583333333333334
28,0.5535714285714286,0.8928571428571429
19,0.47368421052631576,0.9473684210526315
4,0.5,1.0
12,0.5416666666666666,0.9166666666666666
8,0.5,1.0
40,0.55,0.9
64,0.5,0.96875
8,0.625,0.75
8,0.5625,0.875
133,0.518796992481203,0.9323308270676691
4,0.625,0.75
4,0.375,0.75
28,0.44642857142857145,0.8928571428571429
148,0.5371621621621622,0.8851351351351351
4,0.625,0.75
254,0.5216535433070866,0.9173228346456693
4,0.5,1.0
16,0.53125,0.9375
36,0.4861111111111111,0.9722222222222222
303,0.5148514851485149,0.9174917491749175
108,0.5648148148148148,0.6666666666666666
16,0.46875,0.8125
128,0.55078125,0.8984375
4,0.5,1.0
20,0.525,0.95
48,0.5104166666666666,0.9375
4,0.625,0.75
8,0.625,0.75
3,0.5,1.0
4,0.5,1.0
4,0.5,1.0
316,0.5474683544303798,0.8544303797468354
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
8,0.5625,0.875
4,0.5,1.0
74,0.5608108108108109,0.6621621621621622
8,0.625,0.75
8,0.5,1.0
12,0.5,1.0
8,0.5,1.0
209,0.5263157894736842,0.8899521531100478
100,0.5,0.94
4,0.375,0.75
8,0.5,1.0
56,0.5267857142857143,0.9464285714285714
24,0.5416666666666666,0.9166666666666666
8,0.5625,0.875
8,0.5625,0.875
4,0.5,1.0
28,0.5535714285714286,0.8928571428571429
4,0.625,0.75
16,0.53125,0.9375
316,0.5268987341772152,0.9018987341772152
20,0.525,0.95
12,0.5833333333333334,0.8333333333333334
8,0.625,0.75
8,0.4375,0.875
52,0.5480769230769231,0.9038461538461539
240,0.5333333333333333,0.9166666666666666
122,0.4959016393442623,0.9426229508196722
32,0.578125,0.84375
36,0.5138888888888888,0.9722222222222222
4,0.5,1.0
16,0.5,1.0
28,0.5,1.0
2,0.5,0.0
24,0.5416666666666666,0.9166666666666666
4,0.5,1.0
8,0.5,1.0
8,0.5625,0.875
453,0.5562913907284768,0.8653421633554084
47,0.5212765957446809,0.9574468085106383
4,0.5,1.0
408,0.5392156862745098,0.8823529411764706
4,0.625,0.75
83,0.6506024096385542,0.5301204819277109
9,0.6111111111111112,0.7777777777777778
4,0.625,0.75
4,0.5,1.0
4,0.625,0.75
148,0.5608108108108109,0.8648648648648649
6,0.5833333333333334,0.8333333333333334
20,0.5,1.0
4,0.625,0.75
16,0.5625,0.875
8,0.5,1.0
4,0.5,1.0
19,0.5263157894736842,0.9473684210526315
4,0.5,1.0
240,0.5375,0.8916666666666667
4,0.5,1.0
360,0.5666666666666667,0.8666666666666667
8,0.5,1.0
260,0.5230769230769231,0.8923076923076924
4,0.5,1.0
4,0.5,1.0
411,0.5413625304136253,0.8832116788321168
36,0.5138888888888888,0.9722222222222222
4,0.5,1.0
123,0.5528455284552846,0.8943089430894309
108,0.5462962962962963,0.8703703703703703
36,0.5416666666666666,0.8611111111111112
4,0.375,0.75
28,0.5714285714285714,0.7857142857142857
40,0.5375,0.875
20,0.6,0.8
8,0.5,1.0
12,0.5416666666666666,0.9166666666666666
52,0.5673076923076923,0.8653846153846154
84,0.5178571428571429,0.9166666666666666
4,0.625,0.75
4,0.5,1.0
27,0.5740740740740741,0.7037037037037037
4,0.5,1.0
4,0.625,0.75
8,0.5,0.75
229,0.5262008733624454,0.9039301310043668
4,0.5,1.0
28,0.5535714285714286,0.8928571428571429
8,0.5,1.0
341,0.5483870967741935,0.8914956011730205
4,0.375,0.75
20,0.475,0.95
126,0.5515873015873016,0.8650793650793651
28,0.5,1.0
4,0.5,1.0
20,0.575,0.85
4,0.5,1.0
12,0.5416666666666666,0.9166666666666666
12,0.5416666666666666,0.9166666666666666
4,0.5,1.0
20,0.525,0.85
4,0.5,1.0
4,0.625,0.75
4,0.625,0.75
12,0.5416666666666666,0.9166666666666666
4,0.5,1.0
32,0.515625,0.96875
12,0.5833333333333334,0.8333333333333334
2,0.75,0.5
4,0.5,1.0
4,0.375,0.75
4,0.5,1.0
32,0.546875,0.84375
8,0.5625,0.875
4,0.5,1.0
4,0.5,1.0
27,0.5925925925925926,0.8148148148148148
4,0.5,1.0
98,0.5663265306122449,0.8469387755102041
4,0.625,0.75
105,0.5428571428571428,0.8761904761904762
4,0.5,1.0
28,0.5535714285714286,0.8928571428571429
379,0.558047493403694,0.841688654353562
40,0.5,0.95
4,0.625,0.75
4,0.625,0.75
128,0.546875,0.90625
12,0.625,0.75
28,0.5,0.9285714285714286
63,0.5079365079365079,0.8888888888888888
44,0.5681818181818182,0.8636363636363636
20,0.6,0.8
16,0.5625,0.875
4,0.625,0.75
40,0.525,0.85
108,0.5092592592592593,0.9629629629629629
148,0.5135135135135135,0.9054054054054054
20,0.525,0.95
8,0.5625,0.875
11,0.5,1.0
4,0.625,0.75
8,0.5,1.0
446,0.5538116591928252,0.8699551569506726
4,0.5,1.0
292,0.5462328767123288,0.8732876712328768
8,0.5,1.0
16,0.5,1.0
316,0.5585443037974683,0.8639240506329114
2,0.75,0.5
4,0.5,1.0
3,0.8333333333333334,0.3333333333333333
64,0.5390625,0.921875
20,0.625,0.75
56,0.5267857142857143,0.875
88,0.5113636363636364,0.9545454545454546
4,0.375,0.75
8,0.5625,0.875
26,0.5384615384615384,0.9230769230769231
12,0.5416666666666666,0.9166666666666666
12,0.5833333333333334,0.8333333333333334
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
48,0.5208333333333334,0.875
64,0.546875,0.875
28,0.5178571428571429,0.9642857142857143
8,0.5625,0.875
4,0.625,0.75
151,0.5827814569536424,0.6622516556291391
8,0.5,0.75
264,0.5549242424242424,0.875
4,0.5,1.0
8,0.5625,0.875
4,0.625,0.75
12,0.5833333333333334,0.8333333333333334
267,0.5411985018726592,0.8876404494382022
12,0.5833333333333334,0.8333333333333334
4,0.5,1.0
279,0.5197132616487455,0.9175627240143369
4,0.5,1.0
136,0.5036764705882353,0.9485294117647058
104,0.49038461538461536,0.9230769230769231
4,0.375,0.75
315,0.5412698412698412,0.8984126984126984
12,0.5,1.0
12,0.5,1.0
56,0.5357142857142857,0.8928571428571429
4,0.625,0.75
24,0.5416666666666666,0.9166666666666666
4,0.625,0.75
8,0.5625,0.875
20,0.55,0.9
16,0.5625,0.875
12,0.625,0.75
4,0.5,1.0
4,0.5,1.0
8,0.5,1.0
59,0.5423728813559322,0.8813559322033898
4,0.625,0.75
4,0.5,1.0
34,0.5588235294117647,0.8823529411764706
4,0.5,1.0
4,0.5,1.0
4,0.625,0.75
12,0.5833333333333334,0.8333333333333334
20,0.5,1.0
4,0.5,1.0
8,0.5625,0.875
4,0.5,1.0
28,0.5,0.8571428571428571
4,0.5,1.0
344,0.5290697674418605,0.9011627906976745
4,0.5,1.0
372,0.5779569892473119,0.8387096774193549
16,0.46875,0.9375
8,0.5,0.75
12,0.5833333333333334,0.8333333333333334
7,0.5714285714285714,0.8571428571428571
8,0.5,1.0
8,0.5625,0.875
4,0.5,1.0
4,0.375,0.75
4,0.5,1.0
4,0.5,1.0
115,0.5217391304347826,0.8869565217391304
4,0.625,0.75
12,0.5416666666666666,0.9166666666666666
8,0.5625,0.875
8,0.625,0.75
8,0.4375,0.875
324,0.5324074074074074,0.8858024691358025
1,0.5,1.0
8,0.5,1.0
8,0.5,1.0
285,0.5105263157894737,0.9228070175438596
4,0.5,1.0
4,0.5,1.0
232,0.5668103448275862,0.8491379310344828
28,0.5357142857142857,0.9285714285714286
255,0.5588235294117647,0.8666666666666667
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
4,0.625,0.75
8,0.5,0.75
83,0.5240963855421686,0.927710843373494
20,0.575,0.85
8,0.625,0.75
44,0.5568181818181818,0.8863636363636364
16,0.53125,0.9375
4,0.5,1.0
40,0.525,0.9
20,0.55,0.9
137,0.5364963503649635,0.8832116788321168
452,0.5254424778761062,0.9004424778761062
8,0.5625,0.875
28,0.5357142857142857,0.9285714285714286
4,0.625,0.75
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
8,0.5,1.0
452,0.547566371681416,0.8915929203539823
4,0.625,0.75
4,0.5,1.0
467,0.5588865096359743,0.860813704496788
4,0.5,1.0
472,0.5423728813559322,0.8898305084745762
8,0.5,1.0
8,0.5,1.0
23,0.43478260869565216,0.8695652173913043
4,0.625,0.75
480,0.55625,0.8666666666666667
15,0.5666666666666667,0.8666666666666667
8,0.5625,0.875
271,0.5276752767527675,0.8782287822878229
2,0.5,1.0
8,0.5,1.0
4,0.5,1.0
4,0.5,1.0
8,0.5625,0.875
4,0.5,1.0
7,0.5714285714285714,0.8571428571428571
28,0.5178571428571429,0.9642857142857143
4,0.5,1.0
248,0.5504032258064516,0.875
13,0.46153846153846156,0.9230769230769231
40,0.5,0.95
124,0.5483870967741935,0.8709677419354839
4,0.625,0.75
36,0.5277777777777778,0.8888888888888888
28,0.5357142857142857,0.8571428571428571
4,0.375,0.75
52,0.5480769230769231,0.8653846153846154
4,0.375,0.75
1,1.0,0.0
8,0.5,1.0
4,0.5,1.0
4,0.5,1.0
16,0.5625,0.875
332,0.5617469879518072,0.8644578313253012
8,0.5625,0.875
4,0.5,1.0
4,0.5,1.0
4,0.625,0.75
16,0.5625,0.875
4,0.5,1.0
4,0.5,1.0
4,0.625,0.75
48,0.4895833333333333,0.9791666666666666
72,0.5486111111111112,0.8472222222222222
4,0.5,1.0
4,0.625,0.75
332,0.5617469879518072,0.858433734939759
16,0.5625,0.875
8,0.5625,0.875
16,0.5,0.875
159,0.5849056603773585,0.8176100628930818
4,0.5,1.0
8,0.5,1.0
59,0.5423728813559322,0.9152542372881356
256,0.525390625,0.93359375
4,0.5,1.0
4,0.625,0.75
4,0.5,1.0
44,0.5795454545454546,0.8409090909090909
8,0.5,1.0
4,0.625,0.75
6,0.5,1.0
4,0.5,1.0
8,0.5625,0.875
4,0.625,0.75
4,0.5,1.0
1,1.0,0.0
12,0.5,1.0
326,0.5460122699386503,0.8773006134969326
4,0.625,0.75
488,0.5522540983606558,0.8586065573770492
4,0.625,0.75
12,0.5416666666666666,0.9166666666666666
12,0.5416666666666666,0.9166666666666666
348,0.5531609195402298,0.8764367816091954
153,0.5359477124183006,0.6797385620915033
17,0.47058823529411764,0.9411764705882353
8,0.625,0.75
8,0.625,0.75
4,0.625,0.75
4,0.625,0.75
8,0.5,1.0
428,0.5572429906542056,0.8621495327102804
64,0.5390625,0.890625
25,0.54,0.92
12,0.5416666666666666,0.9166666666666666
20,0.575,0.85
4,0.5,1.0
32,0.5625,0.875
13,0.4230769230769231,0.8461538461538461
4,0.5,1.0
4,0.625,0.75
4,0.5,1.0
4,0.5,1.0
1,0.5,1.0
288,0.5295138888888888,0.8923611111111112
8,0.5,1.0
92,0.5054347826086957,0.9021739130434783
4,0.625,0.75
4,0.625,0.75
8,0.5625,0.875
4,0.5,1.0
16,0.5625,0.875
44,0.5795454545454546,0.8409090909090909
4,0.5,1.0
282,0.5460992907801419,0.8581560283687943
4,0.5,1.0
8,0.5625,0.875
4,0.5,1.0
24,0.5625,0.875
4,0.5,1.0
32,0.53125,0.9375
84,0.5,0.9047619047619048
8,0.5625,0.875
24,0.5625,0.875
80,0.53125,0.9125
90,0.6722222222222223,0.6111111111111112
4,0.625,0.75
48,0.5625,0.875
4,0.5,1.0
4,0.625,0.75
16,0.53125,0.9375
56,0.5089285714285714,0.9107142857142857
24,0.5416666666666666,0.9166666666666666
4,0.625,0.75
12,0.5416666666666666,0.9166666666666666
4,0.5,1.0
4,0.5,1.0
292,0.5325342465753424,0.8938356164383562
19,0.5526315789473685,0.8947368421052632
4,0.625,0.75
4,0.5,1.0
20,0.5,0.9
12,0.4583333333333333,0.9166666666666666
93,0.4946236559139785,0.9032258064516129
4,0.5,1.0
4,0.625,0.75
352,0.5639204545454546,0.8664772727272727
12,0.625,0.75
32,0.515625,0.90625
208,0.5649038461538461,0.8701923076923077
5,0.6,0.8
4,0.5,1.0
8,0.625,0.75
4,0.625,0.75
278,0.5323741007194245,0.8920863309352518
4,0.5,1.0
28,0.5178571428571429,0.8928571428571429
20,0.6,0.8
34,0.4852941176470588,0.9705882352941176
20,0.55,0.8
40,0.5625,0.825
83,0.536144578313253,0.9036144578313253
44,0.48863636363636365,0.8863636363636364
12,0.5,0.8333333333333334
4,0.5,1.0
23,0.5652173913043478,0.8695652173913043
4,0.5,1.0
191,0.5235602094240838,0.900523560209424
2,0.75,0.5
4,0.375,0.75
16,0.5,1.0
4,0.5,1.0
4,0.625,0.75
55,0.5272727272727272,0.9454545454545454
8,0.5625,0.875
353,0.5439093484419264,0.8895184135977338
31,0.5967741935483871,0.8064516129032258
4,0.5,1.0
28,0.5178571428571429,0.9642857142857143
4,0.5,1.0
3,0.5,1.0
4,0.5,1.0
44,0.5113636363636364,0.8409090909090909
12,0.5,1.0
16,0.5,0.875
4,0.625,0.75
4,0.5,1.0
4,0.5,1.0
28,0.5178571428571429,0.9642857142857143
28,0.5357142857142857,0.9285714285714286
4,0.625,0.75
28,0.5714285714285714,0.8571428571428571
4,0.5,1.0
8,0.625,0.75
24,0.5,1.0
4,0.5,1.0
4,0.625,0.75
4,0.5,1.0
4,0.625,0.75
278,0.512589928057554,0.9172661870503597
4,0.5,1.0
4,0.625,0.75
459,0.5773420479302832,0.8278867102396514
4,0.5,1.0
40,0.5375,0.925
60,0.5416666666666666,0.9166666666666666
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
20,0.55,0.9
44,0.5340909090909091,0.8863636363636364
51,0.5686274509803921,0.8627450980392157
168,0.5267857142857143,0.8988095238095238
4,0.625,0.75
12,0.5833333333333334,0.8333333333333334
28,0.5,0.9285714285714286
8,0.5,1.0
1,0.5,1.0
4,0.625,0.75
24,0.5208333333333334,0.875
4,0.5,1.0
451,0.5421286031042128,0.8980044345898004
75,0.5133333333333333,0.9466666666666667
4,0.625,0.75
5,0.8,0.4
8,0.5625,0.875
289,0.5242214532871973,0.9100346020761245
105,0.49047619047619045,0.9047619047619048
4,0.5,1.0
8,0.4375,0.875
2,0.5,1.0
4,0.5,1.0
4,0.5,1.0
4,0.75,0.5
4,0.5,1.0
298,0.5536912751677853,0.87248322147651
8,0.4375,0.875
70,0.5,0.9142857142857143
4,0.5,1.0
24,0.4791666666666667,0.9583333333333334
317,0.5488958990536278,0.8706624605678234
6,0.6666666666666666,0.3333333333333333
4,0.5,1.0
32,0.546875,0.90625
14,0.6071428571428571,0.7857142857142857
8,0.5625,0.875
196,0.5612244897959183,0.8775510204081632
62,0.5483870967741935,0.9032258064516129
44,0.5113636363636364,0.9318181818181818
4,0.375,0.75
4,0.5,1.0
16,0.5,1.0
4,0.625,0.75
27,0.5,0.9259259259259259
82,0.5792682926829268,0.6463414634146342
4,0.5,1.0
4,0.5,1.0
32,0.578125,0.84375
345,0.5507246376811594,0.8869565217391304
4,0.5,1.0
4,0.5,1.0
12,0.4583333333333333,0.9166666666666666
5,0.6,0.8
99,0.5707070707070707,0.8383838383838383
32,0.5625,0.875
109,0.6788990825688074,0.5321100917431193
193,0.5414507772020726,0.6683937823834197
16,0.5625,0.875
4,0.5,1.0
4,0.5,1.0
128,0.54296875,0.8671875
4,0.625,0.75
305,0.5639344262295082,0.8459016393442623
12,0.5416666666666666,0.9166666666666666
202,0.4801980198019802,0.9108910891089109
8,0.5625,0.875
4,0.5,1.0
24,0.5208333333333334,0.9583333333333334
12,0.625,0.75
4,0.5,1.0
12,0.4583333333333333,0.9166666666666666
4,0.5,1.0
54,0.5925925925925926,0.8148148148148148
184,0.5543478260869565,0.8695652173913043
3,0.6666666666666666,0.6666666666666666
8,0.5,1.0
4,0.625,0.75
346,0.5115606936416185,0.9075144508670521
4,0.5,1.0
95,0.6105263157894737,0.5684210526315789
4,0.625,0.75
4,0.625,0.75
4,0.625,0.75
4,0.5,1.0
19,0.5263157894736842,0.8421052631578947
140,0.575,0.85
4,0.5,1.0
4,0.5,1.0
98,0.5561224489795918,0.8469387755102041
24,0.5,0.9166666666666666
24,0.5625,0.875
4,0.5,1.0
103,0.5339805825242718,0.8737864077669902
27,0.5185185185185185,0.8888888888888888
4,0.625,0.75
8,0.625,0.75
4,0.625,0.75
86,0.5697674418604651,0.6744186046511628
32,0.53125,0.9375
8,0.5625,0.875
7,0.5,1.0
20,0.575,0.85
1,1.0,0.0
257,0.5933852140077821,0.8054474708171206
284,0.5580985915492958,0.8626760563380281
16,0.5625,0.875
1,1.0,0.0
4,0.5,1.0
327,0.5412844036697247,0.8929663608562691
4,0.5,1.0
4,0.625,0.75
4,0.375,0.75
4,0.375,0.75
4,0.625,0.75
4,0.625,0.75
8,0.375,0.75
4,0.5,1.0
3,0.6666666666666666,0.6666666666666666
3,0.5,1.0
8,0.5625,0.875
288,0.5364583333333334,0.8923611111111112
4,0.625,0.75
20,0.55,0.9
8,0.5,1.0
28,0.5357142857142857,0.9285714285714286
4,0.625,0.75
36,0.5138888888888888,0.9166666666666666
4,0.5,1.0
12,0.5,1.0
160,0.546875,0.84375
4,0.5,1.0
4,0.375,0.75
4,0.5,1.0
316,0.5427215189873418,0.9082278481012658
68,0.5294117647058824,0.9411764705882353
4,0.5,1.0
4,0.5,1.0
16,0.46875,0.8125
12,0.5833333333333334,0.8333333333333334
4,0.5,1.0
420,0.5714285714285714,0.8523809523809524
12,0.625,0.75
12,0.5416666666666666,0.75
350,0.5585714285714286,0.8485714285714285
4,0.625,0.75
95,0.5210526315789473,0.9157894736842105
4,0.625,0.75
220,0.5136363636363637,0.9272727272727272
8,0.5625,0.875
4,0.5,1.0
3,0.6666666666666666,0.6666666666666666
4,0.625,0.75
8,0.5,1.0
332,0.5496987951807228,0.8704819277108434
4,0.375,0.75
212,0.5330188679245284,0.8962264150943396
32,0.53125,0.875
44,0.4772727272727273,0.9090909090909091
4,0.5,1.0
12,0.5833333333333334,0.8333333333333334
12,0.5416666666666666,0.9166666666666666
16,0.5625,0.875
32,0.53125,0.9375
47,0.5212765957446809,0.9148936170212766
4,0.5,1.0
395,0.5582278481012658,0.8632911392405064
20,0.6,0.8
4,0.375,0.75
56,0.5,0.9285714285714286
4,0.625,0.75
336,0.5491071428571429,0.8779761904761905
4,0.5,1.0
260,0.5634615384615385,0.8576923076923076
8,0.5625,0.875
4,0.5,1.0
33,0.5151515151515151,0.9696969696969697
8,0.625,0.75
36,0.5138888888888888,0.9722222222222222
4,0.5,1.0
8,0.5,1.0
4,0.5,1.0
20,0.525,0.85
1,1.0,0.0
3,0.6666666666666666,0.6666666666666666
32,0.53125,0.875
12,0.5,1.0
8,0.5625,0.875
4,0.375,0.75
4,0.625,0.75
8,0.5,1.0
16,0.5,0.875
12,0.5,1.0
8,0.625,0.75
16,0.5,1.0
287,0.524390243902439,0.9094076655052264
1,0.5,1.0
4,0.375,0.75
12,0.5416666666666666,0.75
141,0.5354609929078015,0.8865248226950354
104,0.5961538461538461,0.5384615384615384
4,0.5,1.0
16,0.53125,0.9375
16,0.5,1.0
4,0.625,0.75
4,0.625,0.75
12,0.5416666666666666,0.9166666666666666
60,0.5083333333333333,0.8833333333333333
4,0.625,0.75
12,0.5416666666666666,0.9166666666666666
24,0.5208333333333334,0.9583333333333334
47,0.5425531914893617,0.9148936170212766
4,0.625,0.75
310,0.5548387096774193,0.8709677419354839
24,0.5416666666666666,0.8333333333333334
44,0.5113636363636364,0.9318181818181818
4,0.5,1.0
12,0.5,1.0
64,0.5390625,0.921875
4,0.625,0.75
