alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.51,100,0.0,lcb,fixed_predictable,round_robin,400,400,-0.8875341415405273,
0.51,500,0.0,lcb,fixed_predictable,round_robin,400,400,-0.8849830627441406,
0.51,1,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8849830627441406,
0.51,3,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8849830627441406,
0.51,10,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8849830627441406,
0.51,100,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8849830627441406,
0.51,500,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8849830627441406,
0.51,1,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8849830627441406,
0.51,3,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8849830627441406,
0.51,10,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8849830627441406,
0.51,100,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8849830627441406,
0.51,500,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8849830627441406,
0.51,1,0.0,lcb,agrapa,round_robin,400,400,-1.8268942832946777,
0.51,3,0.0,lcb,agrapa,round_robin,400,400,-1.829561471939087,
0.51,10,0.0,lcb,agrapa,round_robin,400,400,-1.853118658065796,
0.51,100,0.0,lcb,agrapa,round_robin,400,400,-1.8333032131195068,
0.51,500,0.0,lcb,agrapa,round_robin,400,400,-1.8236892223358154,
0.51,1,0.0,lcb,agrapa,predictable_kelly,,,-1.8236892223358154,
0.51,3,0.0,lcb,agrapa,predictable_kelly,,,-1.8236892223358154,
0.51,10,0.0,lcb,agrapa,predictable_kelly,,,-1.8236892223358154,
0.51,100,0.0,lcb,agrapa,predictable_kelly,,,-1.8236892223358154,
0.51,500,0.0,lcb,agrapa,predictable_kelly,,,-1.8236892223358154,
0.51,1,0.0,lcb,agrapa,greedy_kelly,,,-1.8236892223358154,
0.51,3,0.0,lcb,agrapa,greedy_kelly,,,-1.8236892223358154,
0.51,10,0.0,lcb,agrapa,greedy_kelly,,,-1.8236892223358154,
0.51,100,0.0,lcb,agrapa,greedy_kelly,,,-1.8236892223358154,
0.51,500,0.0,lcb,agrapa,greedy_kelly,,,-1.8236892223358154,
0.51,1,0.0,lcb,smooth_predictable,round_robin,400,400,-0.6399745941162109,
0.51,3,0.0,lcb,smooth_predictable,round_robin,400,400,-0.6414780616760254,
0.51,10,0.0,lcb,smooth_predictable,round_robin,400,400,-0.6396634578704834,
0.51,100,0.0,lcb,smooth_predictable,round_robin,400,400,-0.6416878700256348,
0.51,500,0.0,lcb,smooth_predictable,round_robin,400,400,-0.6397686004638672,
0.51,1,0.0,lcb,smooth_predictable,predictable_kelly,,,-0.6397686004638672,
