K,global_mean,delta,sd,mean_stop_lcb,percentile90_stop_lcb,mean_stop_uinnsm,percentile90_stop_uinnsm
3,0.5,0.1,0.1,3000.0,3000.0,3000.0,3000.0
3,0.5,0.2,0.01,3000.0,3000.0,3000.0,3000.0
3,0.5,0.2,0.05,3000.0,3000.0,3000.0,3000.0
3,0.5,0.2,0.1,2993.47,3000.0,3000.0,3000.0
3,0.5222222222222223,0.0,0.01,537.735,551.0,3000.0,3000.0
3,0.5222222222222223,0.0,0.05,566.19,642.1,3000.0,3000.0
3,0.5222222222222223,0.0,0.1,637.69,777.8,3000.0,3000.0
3,0.5222222222222223,0.1,0.01,536.23,549.0,3000.0,3000.0
3,0.5222222222222223,0.1,0.05,557.74,623.2,3000.0,3000.0
3,0.5222222222222223,0.1,0.1,643.98,802.2,3000.0,3000.0
3,0.5222222222222223,0.2,0.01,535.615,550.0,3000.0,3000.0
3,0.5222222222222223,0.2,0.05,554.1,614.1,3000.0,3000.0
3,0.5222222222222223,0.2,0.1,628.51,804.5999999999999,3000.0,3000.0
3,0.5444444444444444,0.0,0.01,272.87,278.0,3000.0,3000.0
3,0.5444444444444444,0.0,0.05,279.75,310.0,3000.0,3000.0
3,0.5444444444444444,0.0,0.1,295.515,345.1,3000.0,3000.0
3,0.5444444444444444,0.1,0.01,272.63,278.0,3000.0,3000.0
3,0.5444444444444444,0.1,0.05,278.59,304.1,3000.0,3000.0
3,0.5444444444444444,0.1,0.1,293.125,347.1,3000.0,3000.0
3,0.5444444444444444,0.2,0.01,273.05,278.0,3000.0,3000.0
3,0.5444444444444444,0.2,0.05,278.725,302.1,3000.0,3000.0
3,0.5444444444444444,0.2,0.1,296.575,352.2,3000.0,3000.0
3,0.5666666666666667,0.0,0.01,183.84,186.0,940.845,1032.0
3,0.5666666666666667,0.0,0.05,186.02,201.0,1373.11,2121.3
3,0.5666666666666667,0.0,0.1,194.705,220.0,2523.05,3000.0
3,0.5666666666666667,0.1,0.01,183.79,186.0,3000.0,3000.0
3,0.5666666666666667,0.1,0.05,186.51,200.1,3000.0,3000.0
3,0.5666666666666667,0.1,0.1,195.46,223.0,3000.0,3000.0
3,0.5666666666666667,0.2,0.01,183.76,187.0,3000.0,3000.0
3,0.5666666666666667,0.2,0.05,186.335,201.0,3000.0,3000.0
3,0.5666666666666667,0.2,0.1,192.71,221.1,3000.0,3000.0
3,0.5888888888888889,0.0,0.01,139.375,141.0,149.37,156.0
3,0.5888888888888889,0.0,0.05,141.44,151.0,164.175,201.0
3,0.5888888888888889,0.0,0.1,144.43,159.1,196.315,282.2
3,0.5888888888888889,0.1,0.01,139.215,141.0,286.89,303.0
3,0.5888888888888889,0.1,0.05,141.085,149.0,309.465,411.29999999999995
3,0.5888888888888889,0.1,0.1,146.19,165.0,444.075,772.8
3,0.5888888888888889,0.2,0.01,139.255,141.0,3000.0,3000.0
3,0.5888888888888889,0.2,0.05,139.995,149.0,2970.39,3000.0
3,0.5888888888888889,0.2,0.1,145.24,161.1,2940.105,3000.0
3,0.611111111111111,0.0,0.01,112.525,114.0,82.335,84.0
3,0.611111111111111,0.0,0.05,113.37,120.0,86.635,102.0
3,0.611111111111111,0.0,0.1,114.62,126.1,92.695,117.1
3,0.611111111111111,0.1,0.01,112.505,114.0,109.2,114.0
3,0.611111111111111,0.1,0.05,113.75,120.0,115.11,138.0
3,0.611111111111111,0.1,0.1,117.215,128.0,129.9,180.0
3,0.611111111111111,0.2,0.01,112.485,114.0,178.965,186.0
3,0.611111111111111,0.2,0.05,113.465,120.0,191.385,237.0
3,0.611111111111111,0.2,0.1,115.925,128.0,227.88,336.29999999999995
3,0.6333333333333333,0.0,0.01,94.635,96.0,57.225,60.0
3,0.6333333333333333,0.0,0.05,95.255,100.0,59.805,66.0
3,0.6333333333333333,0.0,0.1,97.01,106.0,63.2,78.0
3,0.6333333333333333,0.1,0.01,94.69,96.0,68.565,69.29999999999998
3,0.6333333333333333,0.1,0.05,95.365,100.0,69.165,78.0
3,0.6333333333333333,0.1,0.1,97.445,107.0,75.43,99.0
3,0.6333333333333333,0.2,0.01,94.605,96.0,89.04,93.0
3,0.6333333333333333,0.2,0.05,95.065,99.1,91.38,105.0
3,0.6333333333333333,0.2,0.1,98.59,109.0,103.66,138.0
3,0.6555555555555554,0.0,0.01,81.835,83.0,44.61,45.0
3,0.6555555555555554,0.0,0.05,82.535,86.0,46.195,51.0
3,0.6555555555555554,0.0,0.1,83.69,91.0,48.605,60.0
3,0.6555555555555554,0.1,0.01,81.795,82.0,50.46,51.0
3,0.6555555555555554,0.1,0.05,82.215,86.0,50.88,57.0
3,0.6555555555555554,0.1,0.1,83.0,90.0,52.775,63.0
3,0.6555555555555554,0.2,0.01,81.81,82.0,60.03,63.0
3,0.6555555555555554,0.2,0.05,82.285,85.1,61.41,69.0
3,0.6555555555555554,0.2,0.1,84.28,92.0,65.89,87.0
3,0.6777777777777777,0.0,0.01,72.165,73.0,36.03,36.0
3,0.6777777777777777,0.0,0.05,72.69,75.0,37.35,42.0
3,0.6777777777777777,0.0,0.1,73.79,80.0,39.665,48.0
3,0.6777777777777777,0.1,0.01,72.19,73.0,39.66,42.0
3,0.6777777777777777,0.1,0.05,72.54,75.1,40.845,45.0
3,0.6777777777777777,0.1,0.1,73.19,79.0,41.705,51.0
3,0.6777777777777777,0.2,0.01,72.15,73.0,45.285,45.29999999999998
3,0.6777777777777777,0.2,0.05,72.485,76.0,46.095,51.0
3,0.6777777777777777,0.2,0.1,74.165,80.0,48.81,60.0
3,0.7,0.0,0.01,64.775,65.0,30.195,30.0
3,0.7,0.0,0.05,65.05,67.0,31.58,33.0
3,0.7,0.0,0.1,65.39,70.1,32.545,37.19999999999999
3,0.7,0.1,0.01,64.775,65.0,33.03,33.0
3,0.7,0.1,0.05,64.93,67.0,33.69,36.0
3,0.7,0.1,0.1,65.98,71.0,34.985,39.0
3,0.7,0.2,0.01,64.775,65.0,36.54,39.0
3,0.7,0.2,0.05,64.925,68.0,37.515,42.0
3,0.7,0.2,0.1,66.04,71.0,38.71,45.0
4,0.5,0.0,0.01,4000.0,4000.0,4000.0,4000.0
4,0.5,0.0,0.05,4000.0,4000.0,4000.0,4000.0
4,0.5,0.0,0.1,4000.0,4000.0,4000.0,4000.0
4,0.5,0.1,0.01,4000.0,4000.0,4000.0,4000.0
4,0.5,0.1,0.05,4000.0,4000.0,4000.0,4000.0
4,0.5,0.1,0.1,4000.0,4000.0,4000.0,4000.0
4,0.5,0.2,0.01,4000.0,4000.0,4000.0,4000.0
4,0.5,0.2,0.05,4000.0,4000.0,4000.0,4000.0
4,0.5,0.2,0.1,4000.0,4000.0,4000.0,4000.0
4,0.5222222222222223,0.0,0.01,714.265,729.1,4000.0,4000.0
4,0.5222222222222223,0.0,0.05,745.06,831.4,4000.0,4000.0
4,0.5222222222222223,0.0,0.1,843.08,1024.0,4000.0,4000.0
4,0.5222222222222223,0.1,0.01,713.985,730.0,4000.0,4000.0
4,0.5222222222222223,0.1,0.05,743.435,818.9,4000.0,4000.0
4,0.5222222222222223,0.1,0.1,851.985,1086.3,4000.0,4000.0
4,0.5222222222222223,0.2,0.01,714.23,732.0,4000.0,4000.0
4,0.5222222222222223,0.2,0.05,751.345,832.0,4000.0,4000.0
4,0.5222222222222223,0.2,0.1,836.35,1040.0,4000.0,4000.0
4,0.5444444444444444,0.0,0.01,362.885,368.0,4000.0,4000.0
4,0.5444444444444444,0.0,0.05,372.905,397.1,4000.0,4000.0
4,0.5444444444444444,0.0,0.1,395.22,455.0,4000.0,4000.0
4,0.5444444444444444,0.1,0.01,363.065,368.0,4000.0,4000.0
4,0.5444444444444444,0.1,0.05,369.57,400.2,4000.0,4000.0
4,0.5444444444444444,0.1,0.1,397.795,453.1,4000.0,4000.0
4,0.5444444444444444,0.2,0.01,363.57,369.0,4000.0,4000.0
4,0.5444444444444444,0.2,0.05,372.02,398.1,4000.0,4000.0
4,0.5444444444444444,0.2,0.1,396.64,457.1,4000.0,4000.0
4,0.5666666666666667,0.0,0.01,245.04,248.0,4000.0,4000.0
4,0.5666666666666667,0.0,0.05,248.67,266.0,4000.0,4000.0
4,0.5666666666666667,0.0,0.1,258.96,288.0,4000.0,4000.0
4,0.5666666666666667,0.1,0.01,245.11,248.0,4000.0,4000.0
4,0.5666666666666667,0.1,0.05,247.685,264.0,4000.0,4000.0
4,0.5666666666666667,0.1,0.1,259.195,294.0,4000.0,4000.0
4,0.5666666666666667,0.2,0.01,245.075,248.0,4000.0,4000.0
4,0.5666666666666667,0.2,0.05,248.225,264.0,4000.0,4000.0
4,0.5666666666666667,0.2,0.1,259.42,292.2,4000.0,4000.0
4,0.5888888888888889,0.0,0.01,185.365,187.0,4000.0,4000.0
4,0.5888888888888889,0.0,0.05,187.635,197.0,4000.0,4000.0
4,0.5888888888888889,0.0,0.1,193.68,216.0,3965.08,4000.0
4,0.5888888888888889,0.1,0.01,185.375,187.0,4000.0,4000.0
4,0.5888888888888889,0.1,0.05,186.83,196.0,4000.0,4000.0
4,0.5888888888888889,0.1,0.1,195.51,216.0,4000.0,4000.0
4,0.5888888888888889,0.2,0.01,185.61,188.0,4000.0,4000.0
4,0.5888888888888889,0.2,0.05,187.655,197.0,4000.0,4000.0
4,0.5888888888888889,0.2,0.1,193.61,214.0,4000.0,4000.0
4,0.611111111111111,0.0,0.01,149.83,151.0,189.82,200.0
4,0.611111111111111,0.0,0.05,151.53,158.1,218.44,280.0
4,0.611111111111111,0.0,0.1,155.89,172.0,280.1,428.4
4,0.611111111111111,0.1,0.01,149.715,151.0,453.68,492.0
4,0.611111111111111,0.1,0.05,150.43,157.0,523.32,728.0
4,0.611111111111111,0.1,0.1,153.51,167.1,980.64,2192.7999999999993
4,0.611111111111111,0.2,0.01,149.845,151.0,4000.0,4000.0
4,0.611111111111111,0.2,0.05,150.855,158.0,4000.0,4000.0
4,0.611111111111111,0.2,0.1,155.415,171.1,4000.0,4000.0
4,0.6333333333333333,0.0,0.01,125.91,127.0,92.22,96.0
4,0.6333333333333333,0.0,0.05,126.91,132.0,99.935,116.0
4,0.6333333333333333,0.0,0.1,130.005,142.0,113.37,156.39999999999998
4,0.6333333333333333,0.1,0.01,125.965,127.0,125.74,132.0
4,0.6333333333333333,0.1,0.05,126.665,132.0,132.04,160.0
4,0.6333333333333333,0.1,0.1,129.5,139.1,154.37,224.0
4,0.6333333333333333,0.2,0.01,125.96,127.0,215.9,224.39999999999998
4,0.6333333333333333,0.2,0.05,126.765,132.0,233.26,300.0
4,0.6333333333333333,0.2,0.1,130.6,141.0,325.16,520.4
4,0.6555555555555554,0.0,0.01,108.845,110.0,61.8,64.0
4,0.6555555555555554,0.0,0.05,109.155,113.1,64.205,72.0
4,0.6555555555555554,0.0,0.1,111.475,120.0,72.05,92.0
4,0.6555555555555554,0.1,0.01,108.905,110.0,74.12,76.0
4,0.6555555555555554,0.1,0.05,109.025,113.0,74.9,84.0
4,0.6555555555555554,0.1,0.1,110.45,118.0,80.01,108.0
4,0.6555555555555554,0.2,0.01,108.87,110.0,96.44,100.0
4,0.6555555555555554,0.2,0.05,109.705,114.0,101.08,120.0
4,0.6555555555555554,0.2,0.1,110.855,120.0,108.33,152.0
4,0.6777777777777777,0.0,0.01,96.105,97.0,47.66,48.0
4,0.6777777777777777,0.0,0.05,96.78,100.0,49.055,56.0
4,0.6777777777777777,0.0,0.1,97.995,106.0,52.905,67.0
4,0.6777777777777777,0.1,0.01,96.115,97.0,52.82,56.0
4,0.6777777777777777,0.1,0.05,96.78,100.0,54.5,60.0
4,0.6777777777777777,0.1,0.1,98.665,105.1,58.695,72.0
4,0.6777777777777777,0.2,0.01,96.1,97.0,63.12,64.0
4,0.6777777777777777,0.2,0.05,96.625,100.0,64.72,72.39999999999998
4,0.6777777777777777,0.2,0.1,98.87,106.1,70.625,92.0
4,0.7,0.0,0.01,86.13,87.0,38.16,40.0
4,0.7,0.0,0.05,86.315,89.0,39.23,44.0
4,0.7,0.0,0.1,87.58,93.0,41.765,48.0
4,0.7,0.1,0.01,86.125,87.0,41.52,44.0
4,0.7,0.1,0.05,86.575,89.0,42.58,48.0
4,0.7,0.1,0.1,87.625,93.0,45.105,52.0
4,0.7,0.2,0.01,86.125,87.0,47.82,48.0
4,0.7,0.2,0.05,86.465,89.1,47.8,52.0
4,0.7,0.2,0.1,88.515,95.0,50.985,64.0
5,0.5,0.0,0.01,5000.0,5000.0,5000.0,5000.0
5,0.5,0.0,0.05,5000.0,5000.0,5000.0,5000.0
5,0.5,0.0,0.1,5000.0,5000.0,5000.0,5000.0
5,0.5,0.1,0.01,5000.0,5000.0,5000.0,5000.0
5,0.5,0.1,0.05,5000.0,5000.0,5000.0,5000.0
5,0.5,0.1,0.1,5000.0,5000.0,5000.0,5000.0
5,0.5,0.2,0.01,5000.0,5000.0,5000.0,5000.0
5,0.5,0.2,0.05,5000.0,5000.0,5000.0,5000.0
5,0.5,0.2,0.1,5000.0,5000.0,5000.0,5000.0
5,0.5222222222222223,0.0,0.01,892.385,909.2,5000.0,5000.0
5,0.5222222222222223,0.0,0.05,928.35,1024.3,5000.0,5000.0
5,0.5222222222222223,0.0,0.1,1071.495,1271.8999999999999,5000.0,5000.0
5,0.5222222222222223,0.1,0.01,889.04,909.0,5000.0,5000.0
5,0.5222222222222223,0.1,0.05,927.815,993.3,5000.0,5000.0
5,0.5222222222222223,0.1,0.1,1052.49,1268.4,5000.0,5000.0
5,0.5222222222222223,0.2,0.01,888.27,906.0,5000.0,5000.0
5,0.5222222222222223,0.2,0.05,927.85,1016.4,5000.0,5000.0
5,0.5222222222222223,0.2,0.1,1062.735,1283.1,5000.0,5000.0
5,0.5444444444444444,0.0,0.01,453.615,460.0,5000.0,5000.0
5,0.5444444444444444,0.0,0.05,463.095,493.1,5000.0,5000.0
5,0.5444444444444444,0.0,0.1,498.115,576.1,5000.0,5000.0
5,0.5444444444444444,0.1,0.01,453.02,459.0,5000.0,5000.0
5,0.5444444444444444,0.1,0.05,463.215,491.1,5000.0,5000.0
5,0.5444444444444444,0.1,0.1,495.725,565.5,5000.0,5000.0
5,0.5444444444444444,0.2,0.01,453.61,459.1,5000.0,5000.0
5,0.5444444444444444,0.2,0.05,461.455,491.1,5000.0,5000.0
5,0.5444444444444444,0.2,0.1,503.25,576.5,5000.0,5000.0
5,0.5666666666666667,0.0,0.01,306.02,309.0,5000.0,5000.0
5,0.5666666666666667,0.0,0.05,309.645,326.0,5000.0,5000.0
5,0.5666666666666667,0.0,0.1,323.645,358.1,5000.0,5000.0
5,0.5666666666666667,0.1,0.01,305.73,309.0,5000.0,5000.0
5,0.5666666666666667,0.1,0.05,310.765,328.0,5000.0,5000.0
5,0.5666666666666667,0.1,0.1,321.475,356.0,5000.0,5000.0
5,0.5666666666666667,0.2,0.01,305.6,309.0,5000.0,5000.0
5,0.5666666666666667,0.2,0.05,308.83,325.0,5000.0,5000.0
5,0.5666666666666667,0.2,0.1,322.5,360.1,5000.0,5000.0
5,0.5888888888888889,0.0,0.01,231.57,234.0,263.225,275.0
5,0.5888888888888889,0.0,0.05,233.78,245.0,309.99,390.0
5,0.5888888888888889,0.0,0.1,240.235,263.1,478.445,802.5
5,0.5888888888888889,0.1,0.01,231.58,234.0,1074.525,1195.0
5,0.5888888888888889,0.1,0.05,234.7,246.0,1589.275,2731.5
5,0.5888888888888889,0.1,0.1,241.03,265.0,3388.875,5000.0
5,0.5888888888888889,0.2,0.01,231.71,234.0,5000.0,5000.0
5,0.5888888888888889,0.2,0.05,233.28,243.0,5000.0,5000.0
5,0.5888888888888889,0.2,0.1,239.34,260.0,5000.0,5000.0
5,0.611111111111111,0.0,0.01,187.06,188.0,107.225,110.0
5,0.611111111111111,0.0,0.05,188.72,196.0,116.99,140.0
5,0.611111111111111,0.0,0.1,193.31,209.1,138.605,190.39999999999998
5,0.611111111111111,0.1,0.01,186.985,188.1,149.75,155.0
5,0.611111111111111,0.1,0.05,189.155,196.1,160.975,195.0
5,0.611111111111111,0.1,0.1,193.375,210.0,190.68,290.5
5,0.611111111111111,0.2,0.01,187.11,189.0,280.6,295.0
5,0.611111111111111,0.2,0.05,187.19,195.0,301.525,390.0
5,0.611111111111111,0.2,0.1,194.075,210.1,444.12,745.0
5,0.6333333333333333,0.0,0.01,157.235,158.0,68.875,70.0
5,0.6333333333333333,0.0,0.05,157.955,164.0,72.415,80.0
5,0.6333333333333333,0.0,0.1,162.205,175.0,81.015,105.0
5,0.6333333333333333,0.1,0.01,157.32,159.0,82.575,85.0
5,0.6333333333333333,0.1,0.05,157.88,163.0,84.15,95.0
5,0.6333333333333333,0.1,0.1,160.285,170.1,90.92,115.0
5,0.6333333333333333,0.2,0.01,157.17,158.0,108.15,110.0
5,0.6333333333333333,0.2,0.05,158.7,165.0,113.85,135.0
5,0.6333333333333333,0.2,0.1,162.295,174.0,128.805,180.0
5,0.6555555555555554,0.0,0.01,135.91,137.0,50.1,50.0
5,0.6555555555555554,0.0,0.05,136.75,141.0,52.93,60.0
5,0.6555555555555554,0.0,0.1,139.3,147.0,57.66,70.0
5,0.6555555555555554,0.1,0.01,135.955,137.0,57.55,60.0
5,0.6555555555555554,0.1,0.05,136.285,141.0,58.05,65.0
5,0.6555555555555554,0.1,0.1,139.145,149.0,64.1,80.0
5,0.6555555555555554,0.2,0.01,135.895,137.0,68.375,70.0
5,0.6555555555555554,0.2,0.05,136.795,141.0,69.725,80.0
5,0.6555555555555554,0.2,0.1,139.36,148.1,76.625,100.0
5,0.6777777777777777,0.0,0.01,119.925,121.0,40.0,40.0
5,0.6777777777777777,0.0,0.05,120.725,124.0,42.275,45.0
5,0.6777777777777777,0.0,0.1,121.585,129.0,45.31,55.0
5,0.6777777777777777,0.1,0.01,119.935,121.0,45.0,45.0
5,0.6777777777777777,0.1,0.05,120.645,125.0,45.55,50.0
5,0.6777777777777777,0.1,0.1,122.495,130.1,47.7,60.0
5,0.6777777777777777,0.2,0.01,120.055,121.0,50.125,50.0
5,0.6777777777777777,0.2,0.05,120.61,124.0,51.065,55.49999999999997
5,0.6777777777777777,0.2,0.1,122.26,130.0,53.805,65.0
5,0.7,0.0,0.01,107.56,108.0,35.0,35.0
5,0.7,0.0,0.05,108.16,111.0,35.4,40.0
5,0.7,0.0,0.1,109.19,116.0,37.52,45.0
5,0.7,0.1,0.01,107.495,108.0,35.3,35.0
5,0.7,0.1,0.05,107.93,111.0,37.04,40.0
5,0.7,0.1,0.1,110.105,116.1,39.815,45.0
5,0.7,0.2,0.01,107.575,108.0,40.0,40.0
5,0.7,0.2,0.05,107.755,111.0,40.915,45.0
5,0.7,0.2,0.1,109.645,117.0,43.07,50.0
