alt,rep,delta,method,bet,allocation,stopping_time,sample_size,worst_case_eta
0.6,5_9,0.5,uinnsm_product,bernoulli,round_robin,73,73.0,[0.24747475 0.75252525]
0.6,5_0,0.5,uinnsm_product,ap_bernoulli,round_robin,155,155.0,[0.26767677 0.73232323]
0.6,5_1,0.5,uinnsm_product,ap_bernoulli,round_robin,399,399.0,[0.22727273 0.77272727]
0.6,5_2,0.5,uinnsm_product,ap_bernoulli,round_robin,142,142.0,[0.26767677 0.73232323]
0.6,5_3,0.5,uinnsm_product,ap_bernoulli,round_robin,395,395.0,[0.22727273 0.77272727]
0.6,5_4,0.5,uinnsm_product,ap_bernoulli,round_robin,115,115.0,[0.23737374 0.76262626]
0.6,5_5,0.5,uinnsm_product,ap_bernoulli,round_robin,324,324.0,[0.21717172 0.78282828]
0.6,5_6,0.5,uinnsm_product,ap_bernoulli,round_robin,157,157.0,[0.22727273 0.77272727]
0.6,5_7,0.5,uinnsm_product,ap_bernoulli,round_robin,55,55.0,[0.22727273 0.77272727]
0.6,5_8,0.5,uinnsm_product,ap_bernoulli,round_robin,34,34.0,[0.32828283 0.67171717]
0.6,5_9,0.5,uinnsm_product,ap_bernoulli,round_robin,185,185.0,[0.20707071 0.79292929]
