A_c,stratum_gap,A_c_1,A_c_2,bet,allocation,stopping_time_uinnsm,stopping_time_lcb
0.53,0.0,0.53,0.53,agrapa,round_robin,303.0,467.0
0.53,0.0,0.53,0.53,agrapa,larger_means,303.0,445.0
0.53,0.0,0.53,0.53,agrapa,proportional_to_mart,305.0,
0.53,0.0,0.53,0.53,smooth_predictable,round_robin,204.0,401.0
0.53,0.0,0.53,0.53,smooth_predictable,larger_means,527.0,404.0
0.53,0.0,0.53,0.53,smooth_predictable,proportional_to_mart,209.0,
0.53,0.0,0.53,0.53,uniform_mixture,round_robin,328.0,
0.53,0.0,0.53,0.53,uniform_mixture,larger_means,347.0,
0.53,0.0,0.53,0.53,uniform_mixture,proportional_to_mart,339.0,
0.53,0.1,0.48000000000000004,0.5800000000000001,fixed,round_robin,1000.0,535.0
0.53,0.1,0.48000000000000004,0.5800000000000001,fixed,larger_means,1000.0,527.0
0.53,0.1,0.48000000000000004,0.5800000000000001,fixed,proportional_to_mart,272.0,
0.53,0.1,0.48000000000000004,0.5800000000000001,agrapa,round_robin,303.0,467.0
0.53,0.1,0.48000000000000004,0.5800000000000001,agrapa,larger_means,303.0,449.0
0.53,0.1,0.48000000000000004,0.5800000000000001,agrapa,proportional_to_mart,299.0,
0.53,0.1,0.48000000000000004,0.5800000000000001,smooth_predictable,round_robin,204.0,401.0
0.53,0.1,0.48000000000000004,0.5800000000000001,smooth_predictable,larger_means,496.0,400.0
0.53,0.1,0.48000000000000004,0.5800000000000001,smooth_predictable,proportional_to_mart,207.0,
0.53,0.1,0.48000000000000004,0.5800000000000001,uniform_mixture,round_robin,328.0,
0.53,0.1,0.48000000000000004,0.5800000000000001,uniform_mixture,larger_means,337.0,
0.53,0.1,0.48000000000000004,0.5800000000000001,uniform_mixture,proportional_to_mart,326.0,
0.53,0.5,0.28,0.78,fixed,round_robin,1000.0,535.0
0.53,0.5,0.28,0.78,fixed,larger_means,1000.0,525.0
0.53,0.5,0.28,0.78,fixed,proportional_to_mart,270.0,
0.53,0.5,0.28,0.78,agrapa,round_robin,303.0,467.0
0.53,0.5,0.28,0.78,agrapa,larger_means,306.0,456.0
0.53,0.5,0.28,0.78,agrapa,proportional_to_mart,305.0,
0.53,0.5,0.28,0.78,smooth_predictable,round_robin,204.0,401.0
0.53,0.5,0.28,0.78,smooth_predictable,larger_means,498.0,391.0
0.53,0.5,0.28,0.78,smooth_predictable,proportional_to_mart,211.0,
0.53,0.5,0.28,0.78,uniform_mixture,round_robin,328.0,
0.53,0.5,0.28,0.78,uniform_mixture,larger_means,340.0,
0.53,0.5,0.28,0.78,uniform_mixture,proportional_to_mart,333.0,
0.55,0.0,0.55,0.55,fixed,round_robin,1000.0,312.0
0.55,0.0,0.55,0.55,fixed,larger_means,1000.0,315.0
0.55,0.0,0.55,0.55,fixed,proportional_to_mart,168.0,
0.55,0.0,0.55,0.55,agrapa,round_robin,142.0,208.0
0.55,0.0,0.55,0.55,agrapa,larger_means,151.0,210.0
0.55,0.0,0.55,0.55,agrapa,proportional_to_mart,143.0,
0.55,0.0,0.55,0.55,smooth_predictable,round_robin,123.0,234.0
0.55,0.0,0.55,0.55,smooth_predictable,larger_means,312.0,236.0
0.55,0.0,0.55,0.55,smooth_predictable,proportional_to_mart,129.0,
0.55,0.0,0.55,0.55,uniform_mixture,round_robin,198.0,
0.55,0.0,0.55,0.55,uniform_mixture,larger_means,222.0,
0.55,0.0,0.55,0.55,uniform_mixture,proportional_to_mart,202.0,
0.55,0.1,0.5,0.6000000000000001,fixed,round_robin,1000.0,312.0
0.55,0.1,0.5,0.6000000000000001,fixed,larger_means,1000.0,312.0
0.55,0.1,0.5,0.6000000000000001,fixed,proportional_to_mart,168.0,
0.55,0.1,0.5,0.6000000000000001,agrapa,round_robin,142.0,208.0
0.55,0.1,0.5,0.6000000000000001,agrapa,larger_means,156.0,212.0
0.55,0.1,0.5,0.6000000000000001,agrapa,proportional_to_mart,146.0,
0.55,0.1,0.5,0.6000000000000001,smooth_predictable,round_robin,123.0,234.0
0.55,0.1,0.5,0.6000000000000001,smooth_predictable,larger_means,287.0,238.0
0.55,0.1,0.5,0.6000000000000001,smooth_predictable,proportional_to_mart,125.0,
0.55,0.1,0.5,0.6000000000000001,uniform_mixture,round_robin,198.0,
0.55,0.1,0.5,0.6000000000000001,uniform_mixture,larger_means,219.0,
0.55,0.1,0.5,0.6000000000000001,uniform_mixture,proportional_to_mart,203.0,
0.55,0.5,0.30000000000000004,0.8,fixed,round_robin,1000.0,312.0
0.55,0.5,0.30000000000000004,0.8,fixed,larger_means,1000.0,318.0
0.55,0.5,0.30000000000000004,0.8,fixed,proportional_to_mart,170.0,
0.55,0.5,0.30000000000000004,0.8,agrapa,round_robin,142.0,208.0
0.55,0.5,0.30000000000000004,0.8,agrapa,larger_means,159.0,212.0
0.55,0.5,0.30000000000000004,0.8,agrapa,proportional_to_mart,149.0,
0.55,0.5,0.30000000000000004,0.8,smooth_predictable,round_robin,123.0,234.0
0.55,0.5,0.30000000000000004,0.8,smooth_predictable,larger_means,304.0,233.0
0.55,0.5,0.30000000000000004,0.8,smooth_predictable,proportional_to_mart,127.0,
0.55,0.5,0.30000000000000004,0.8,uniform_mixture,round_robin,198.0,
0.55,0.5,0.30000000000000004,0.8,uniform_mixture,larger_means,216.0,
0.55,0.5,0.30000000000000004,0.8,uniform_mixture,proportional_to_mart,214.0,
0.57,0.0,0.57,0.57,fixed,round_robin,336.0,231.0
0.57,0.0,0.57,0.57,fixed,larger_means,968.0,230.0
0.57,0.0,0.57,0.57,fixed,proportional_to_mart,122.0,
0.57,0.0,0.57,0.57,agrapa,round_robin,94.0,147.0
0.57,0.0,0.57,0.57,agrapa,larger_means,106.0,146.0
0.57,0.0,0.57,0.57,agrapa,proportional_to_mart,97.0,
0.57,0.0,0.57,0.57,smooth_predictable,round_robin,89.0,173.0
0.57,0.0,0.57,0.57,smooth_predictable,larger_means,248.0,173.0
0.57,0.0,0.57,0.57,smooth_predictable,proportional_to_mart,109.0,
0.57,0.0,0.57,0.57,uniform_mixture,round_robin,142.0,
0.57,0.0,0.57,0.57,uniform_mixture,larger_means,170.0,
0.57,0.0,0.57,0.57,uniform_mixture,proportional_to_mart,149.0,
0.57,0.1,0.5199999999999999,0.62,fixed,round_robin,566.0,231.0
0.57,0.1,0.5199999999999999,0.62,fixed,larger_means,989.0,230.0
0.57,0.1,0.5199999999999999,0.62,fixed,proportional_to_mart,127.0,
0.57,0.1,0.5199999999999999,0.62,agrapa,round_robin,94.0,147.0
0.57,0.1,0.5199999999999999,0.62,agrapa,larger_means,105.0,146.0
0.57,0.1,0.5199999999999999,0.62,agrapa,proportional_to_mart,96.0,
0.57,0.1,0.5199999999999999,0.62,smooth_predictable,round_robin,89.0,173.0
0.57,0.1,0.5199999999999999,0.62,smooth_predictable,larger_means,254.0,173.0
0.57,0.1,0.5199999999999999,0.62,smooth_predictable,proportional_to_mart,93.0,
0.57,0.1,0.5199999999999999,0.62,uniform_mixture,round_robin,142.0,
0.57,0.1,0.5199999999999999,0.62,uniform_mixture,larger_means,155.0,
0.57,0.1,0.5199999999999999,0.62,uniform_mixture,proportional_to_mart,147.0,
0.57,0.5,0.31999999999999995,0.82,fixed,round_robin,1000.0,231.0
0.57,0.5,0.31999999999999995,0.82,fixed,larger_means,1000.0,231.0
0.57,0.5,0.31999999999999995,0.82,fixed,proportional_to_mart,124.0,
0.57,0.5,0.31999999999999995,0.82,agrapa,round_robin,94.0,147.0
0.57,0.5,0.31999999999999995,0.82,agrapa,larger_means,108.0,149.0
0.57,0.5,0.31999999999999995,0.82,agrapa,proportional_to_mart,101.0,
0.57,0.5,0.31999999999999995,0.82,smooth_predictable,round_robin,89.0,173.0
0.57,0.5,0.31999999999999995,0.82,smooth_predictable,larger_means,223.0,174.0
0.57,0.5,0.31999999999999995,0.82,smooth_predictable,proportional_to_mart,94.0,
0.57,0.5,0.31999999999999995,0.82,uniform_mixture,round_robin,142.0,
0.57,0.5,0.31999999999999995,0.82,uniform_mixture,larger_means,165.0,
0.57,0.5,0.31999999999999995,0.82,uniform_mixture,proportional_to_mart,149.0,
0.6,0.0,0.6,0.6,fixed,round_robin,150.0,163.0
0.6,0.0,0.6,0.6,fixed,larger_means,566.0,163.0
0.6,0.0,0.6,0.6,fixed,proportional_to_mart,94.0,
0.6,0.0,0.6,0.6,agrapa,round_robin,62.0,99.0
0.6,0.0,0.6,0.6,agrapa,larger_means,79.0,98.0
0.6,0.0,0.6,0.6,agrapa,proportional_to_mart,69.0,
0.6,0.0,0.6,0.6,smooth_predictable,round_robin,63.0,121.0
0.6,0.0,0.6,0.6,smooth_predictable,larger_means,195.0,123.0
0.6,0.0,0.6,0.6,smooth_predictable,proportional_to_mart,71.0,
0.6,0.0,0.6,0.6,uniform_mixture,round_robin,100.0,
0.6,0.0,0.6,0.6,uniform_mixture,larger_means,132.0,
0.6,0.0,0.6,0.6,uniform_mixture,proportional_to_mart,105.0,
0.6,0.1,0.5499999999999999,0.65,fixed,round_robin,180.0,163.0
0.6,0.1,0.5499999999999999,0.65,fixed,larger_means,882.0,164.0
