alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.51,100,0.0,uinnsm_product,inverse,round_robin,301,301.0,-7.74024510383606,[0.505 0.495]
0.51,500,0.0,uinnsm_product,inverse,round_robin,298,298.0,-38.81290292739868,[0.499 0.501]
0.51,1,0.0,uinnsm_product,inverse,predictable_kelly,400,400.0,-0.3736705780029297,[0.5 0.5]
0.51,3,0.0,uinnsm_product,inverse,predictable_kelly,400,400.0,-1.0896263122558594,[0.5 0.5]
0.51,10,0.0,uinnsm_product,inverse,predictable_kelly,317,400.0,-3.6316139698028564,[0.45 0.55]
0.51,100,0.0,uinnsm_product,inverse,predictable_kelly,300,400.0,-36.522937297821045,[0.495 0.505]
0.51,500,0.0,uinnsm_product,inverse,predictable_kelly,298,400.0,-181.95063591003418,[0.499 0.501]
0.51,1,0.0,uinnsm_product,inverse,greedy_kelly,400,400.0,-0.7872734069824219,[0.5 0.5]
0.51,3,0.0,uinnsm_product,inverse,greedy_kelly,400,400.0,-1.73409104347229,[0.5 0.5]
0.51,10,0.0,uinnsm_product,inverse,greedy_kelly,324,324.0,-5.046040773391724,[0.45 0.55]
0.51,100,0.0,uinnsm_product,inverse,greedy_kelly,301,301.0,-47.79828429222107,[0.505 0.495]
0.51,500,0.0,uinnsm_product,inverse,greedy_kelly,298,298.0,-239.55325078964233,[0.499 0.501]
0.51,1,0.0,lcb,fixed_predictable,round_robin,400,400,-18.34420394897461,
0.51,3,0.0,lcb,fixed_predictable,round_robin,400,400,-18.274641513824463,
0.51,10,0.0,lcb,fixed_predictable,round_robin,400,400,-18.315261602401733,
0.51,100,0.0,lcb,fixed_predictable,round_robin,400,400,-18.33626127243042,
0.51,500,0.0,lcb,fixed_predictable,round_robin,400,400,-18.241178035736084,
0.51,1,0.0,lcb,fixed_predictable,predictable_kelly,,,-18.241178035736084,
0.51,3,0.0,lcb,fixed_predictable,predictable_kelly,,,-18.241178035736084,
0.51,10,0.0,lcb,fixed_predictable,predictable_kelly,,,-18.241178035736084,
0.51,100,0.0,lcb,fixed_predictable,predictable_kelly,,,-18.241178035736084,
0.51,500,0.0,lcb,fixed_predictable,predictable_kelly,,,-18.241178035736084,
0.51,1,0.0,lcb,fixed_predictable,greedy_kelly,,,-18.241178035736084,
0.51,3,0.0,lcb,fixed_predictable,greedy_kelly,,,-18.241178035736084,
0.51,10,0.0,lcb,fixed_predictable,greedy_kelly,,,-18.241178035736084,
0.51,100,0.0,lcb,fixed_predictable,greedy_kelly,,,-18.241178035736084,
0.51,500,0.0,lcb,fixed_predictable,greedy_kelly,,,-18.241178035736084,
0.51,1,0.0,lcb,agrapa,round_robin,339,339,-18.305105924606323,
0.51,3,0.0,lcb,agrapa,round_robin,339,339,-18.319481134414673,
